Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
274,NCT04599959,COVID-19 Tests: Nasopharyngeal Swab vs Saliva Collected With SalivetteÂ® Cortisol for Viral RNA Sampling for RT-qPCR,,Completed,No Results Available,Covid-19,Diagnostic Test: Sampling of SARS-CoV-2 RNA from nasopharyngeal swab specimen or saliva collected via Salivette Cortisol,SARS-CoV-2-RNA detectability in Swab and Salivette samples,Boehringer Ingelheim,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,144,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,0352-2150,20-Jan-21,26-Oct-20,86,20-Jan-21,23-Oct-20,,26-Jan-21,"Instituto Nacional de Enfermedades Respiratorias Ismael CosÃ­o Villegas, Mexico, Mexico",,https://ClinicalTrials.gov/show/NCT04599959
275,NCT04523831,Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection,,Completed,Has Results,Covid19,Drug: Ivermectin and Doxycycline|Drug: Standard of care,Number of Patients With Early Clinical Improvement|Number of Participants With Late Clinical Recovery|Number of Patients Having Clinical Deterioration.|Number of Patients Remain Persistently Positive for RT-PCR of Covid-19,Dhaka Medical College,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,400,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",ERC-DMC/ECC/2020/117,10-Sep-20,1-Jun-20,101,22-Aug-20,24-Aug-20,9-Oct-20,9-Oct-20,"Dhaka Medical College, Dhaka, Bangladesh","""Study Protocol and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04523831/Prot_ICF_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04523831/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04523831
276,NCT04827160,Prediction of Thrombosis Using D-dimer Trends in COVID-19,TRENDS,Completed,No Results Available,Covid19,,D-dimer trends|Thrombosis|All-cause mortality|Orotracheal intubation,"Central Hospital, Nancy, France",All,"18 Years and older Â  (Adult, Older Adult)",,280,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,2020308,11-Aug-20,2-Mar-20,162,11-Aug-20,1-Apr-21,,1-Apr-21,"CHRU Nancy, Nancy, France",,https://ClinicalTrials.gov/show/NCT04827160
278,NCT04670003,Spread Analysis of COVID-19 Outbreak in France by Self-assessment Web-application,SourceCOVID,Completed,No Results Available,Covid19,Other: users,Description of the methods of contamination of patients|Evaluation in time of the spread of the virus during the 2nd epidemic wave.|Evaluation in space of the spread of the virus during the 2nd epidemic wave.,Weprom|Kelindi,All,"18 Years and older Â  (Adult, Older Adult)",,4975,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,WP-2020-05,30-Mar-21,2-Jan-21,87,30-Mar-21,17-Dec-20,,8-Apr-21,"Institut InterrÃ©gional de CancÃ©rologie, Le Mans, France",,https://ClinicalTrials.gov/show/NCT04670003
279,NCT04358926,Hyperbaric Oxygen Therapy Effect in COVID-19 RCT (HBOTCOVID19),HBOTCOVID19,Completed,No Results Available,COVID-19|Desaturation of Blood,Device: Hyperbaric oxygen therapy,SpO2|NEWS Score|Inflammation level -CRP|white blood cells number|Cytokines - IL1|Cytokines - IL2|Cytokines - IL6|Cytokines - IL10|Cytokines - TNFalpha|Inflammation level - procalcitonin|Inflammation level - ferritin|Symptoms level|Number of patients with IgM seroconversion|Number of patients with IgG seroconversion|FEV1/FVC|Time to symptoms recovery|Number of patients who required invasive ventilation|Time to negative virus PCR|Mortality rate|Number of barotrauma events (safety),Assaf-Harofeh Medical Center,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,120-20-ASF,1-Nov-20,30-Apr-20,185,15-Oct-20,24-Apr-20,,3-Feb-21,"Amir Hadanny, Zerifin, Israel",,https://ClinicalTrials.gov/show/NCT04358926
280,NCT04832828,Sensitivity and Specificity of the Roth Test in Patients With COVID-19 Positive,,Completed,No Results Available,Covid19,Diagnostic Test: RothÂ´s Test,Oxygen Saturation|RothÂ´s test,Universidad Autonoma de Madrid,All,"12 Years to 99 Years Â  (Child, Adult, Older Adult)",,114,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,PI-4321,28-Nov-20,1-Jun-20,180,28-Nov-20,6-Apr-21,,6-Apr-21,"CS EntrevÃ­as, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04832828
281,NCT04793243,Vitamin D3 Levels in COVID-19 Outpatients From Western Mexico,,Completed,No Results Available,Covid19,Dietary Supplement: Vitamin D3,Baseline levels of serum vitamin D in COVID-19 patients|Correlation between D-dimer and vitamin D serum levels in COVID-19 patients|Correlation between transferrin and vitamin D serum levels in COVID-19 patients|Correlation between ferritin and vitamin D serum levels in COVID-19 patients|Effects of vitamin D3 supplementation on COVID-19 patients,University of Guadalajara,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,42,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,CI-07620,24-Oct-20,17-Aug-20,68,10-Oct-20,11-Mar-21,,11-Mar-21,"Universidad de Guadalajara, Guadalajara, Jalisco, Mexico",,https://ClinicalTrials.gov/show/NCT04793243
282,NCT04709744,Impact of Vitamin D Level and Supplement on SLE Patients During COVID-19 Pandemic,,Completed,No Results Available,Covid19,Drug: Vitamin D|Diagnostic Test: ELISA,Level of serum vitamin D in SLE infected with COVID-19|Vitamin D level with COVID-19 severity,Mansoura University,All,"18 Years to 80 Years Â  (Adult, Older Adult)",,38,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,RP.21.01.91,30-Dec-20,1-Apr-20,273,25-Dec-20,14-Jan-21,,15-Jan-21,"Mansoura University Hospital, Mansoura, DK, Egypt",,https://ClinicalTrials.gov/show/NCT04709744
283,NCT04529447,Response of Korean Medicine Hospital to COVID-19,,Completed,No Results Available,Covid19,Other: Survey,Satisfactory service regarding hospital response to COVID-19|Feelings of apprehension regarding hospital visits|Medical staff wearing of facial masks and hand hygiene|Cleanliness and sterilization of hospital facilities|Convenience and accessibility of hand sanitizers|Helpfulness and readability of posters and stand-up banners|Satisfaction with hospital safety measures for COVID-19|Recommendation of hospital to friends and family,Jaseng Hospital of Korean Medicine|Jaseng Medical Academy,All,"Child, Adult, Older Adult",,485,Other,Observational,Observational Model: Other|Time Perspective: Retrospective,JMA-CT-2020-01,10-Aug-20,10-Jun-20,61,10-Aug-20,27-Aug-20,,27-Aug-20,"Jaseng Hospital of Korean Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT04529447
284,NCT04584450,Investigation of Validity and Reliability of Post-COVID-19 Functional Status Scale,,Completed,No Results Available,Covid19,Other: Questionnaire,Post-COVID-19 Functional Status Scale (Turkish version)|Dyspnea assessment|Evaluation of daily living activities|Assessment of the structural validity of the Post-COVID-19 Functional Status Scale,Hacettepe University,All,"18 Years and older Â  (Adult, Older Adult)",,100,Other,Observational,Observational Model: Other|Time Perspective: Prospective,GO 20/788,31-Dec-20,2-Sep-20,120,31-Dec-20,14-Oct-20,,29-Jan-21,"Hacettepe University, Ankara, Turkey",,https://ClinicalTrials.gov/show/NCT04584450
285,NCT04419571,Outcomes in Emergency Laparotomies During COVID-19 Pandemic,,Completed,No Results Available,COVID-19|Emergency General Surgery,Procedure: Emergency Laparotomy,30-day mortality|7-day mortality|Number of participants returning to theatre|Length of stay|Post-operative respiratory failure|Post-operative ARDS|Post-operative sepsis|ITU/HDU admission,"Barking, Havering and Redbridge University Hospitals NHS Trust",All,"18 Years and older Â  (Adult, Older Adult)",,94,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,133196,16-Jun-20,23-Mar-20,85,16-Jun-20,5-Jun-20,,23-Jul-20,"Queen's Hospital, Romford, United Kingdom","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT04419571/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04419571
286,NCT04480060,Experience of an Emergency Intensive Care Unit During COVID-19 Pandemic,,Completed,No Results Available,Covid19,Diagnostic Test: COVID-19 diagnostic PCR,Mortality of the COVID-19 patients,Kanuni Sultan Suleyman Training and Research Hospital,All,18 Years to 50 Years Â  (Adult),,100000,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,KSSEAH--EDCC,14-Jul-20,10-Mar-20,126,30-Jun-20,21-Jul-20,,21-Jul-20,"Seda Yilmaz Semerci, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04480060
287,NCT04387643,Protecting Health Care Workers During the COVID-19 Outbreak,,Completed,No Results Available,Covid-19,Dietary Supplement: Ayurvedic Kadha,Physical Health|Psychological Health|Coping with distress|Self-Help,"Aarogyam UK|Samta Ayurveda Prakoshtha, India",All,18 Years to 60 Years Â  (Adult),,52,Other,Observational,Observational Model: Other|Time Perspective: Prospective,AU/SA/01,2-Apr-20,1-Mar-20,32,2-Apr-20,14-May-20,,14-May-20,"Samta Ayurveda Prakoshtha, Jaipur, Rajasthan, India",,https://ClinicalTrials.gov/show/NCT04387643
288,NCT04568525,Passive Microwave Radiometry (MWR) and AI for COVID-19 Complications Early Diagnostics of Lungs,,Completed,No Results Available,Covid19,Diagnostic Test: Passive Microwave Radiometry,Determine sensitivity and specificity of MWR diagnostics of pneumonia in patients with COVID-19. (diagnosed by PCR and CT),Kyrgyz State Medical Academy|University of Edinburgh|International Medical University,All,"18 Years to 75 Years Â  (Adult, Older Adult)",Not Applicable,195,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic,01-2/141 27,1-Aug-20,1-Jul-20,31,25-Jul-20,29-Sep-20,,29-Sep-20,"Educational - clinical - scientific medical center of KSMA, Bishkek, Chui, Kyrgyzstan",,https://ClinicalTrials.gov/show/NCT04568525
289,NCT04666753,Retrospective Study of ImmunoFormulation for COVID-19,,Completed,No Results Available,Covid19,Dietary Supplement: ImmunoFormulation,Clinical symptoms duration,Fagron Iberica S.A.U.,All,"18 Years and older Â  (Adult, Older Adult)",,40,Industry,Observational,Observational Model: Cohort|Time Perspective: Retrospective,IMUNO TF STUDY,29-Sep-20,2-Jul-20,89,29-Sep-20,14-Dec-20,,14-Dec-20,"Clinic Bascoy, Barcelona, Spain|ClÃ­nica Arvila Magna, Barcelona, Spain",,https://ClinicalTrials.gov/show/NCT04666753
290,NCT04400058,Octagam 10% Therapy in COVID-19 Patients With Severe Disease Progression,,Completed,No Results Available,Covid-19,Biological: Octagam 10%|Other: Placebo,Stabilization or Improvement in Clinical Status|Descriptive Clinical Status Analysis|Clinical Status Assessment|Time to death|Mechanical Ventilation Initiation|Mechanical Ventilation Duration|SARS-CoV-2 Test Result|Incidence of all AEs|Incidence of AEs considered related to the IMP|Incidence of serious adverse events (SAEs)|Radiological findings (chest CT/chest X-ray)|Blood glucose|Blood calcium|Sodium|Potassium|Carbon dioxide|Chloride|Albumin|Total protein|Alkaline phosphatase|Alanine transaminase|Aspartate aminotransferase|Bilirubin|Blood urea nitrogen|D-dimer|Fibrinogen|PT|PTT|INR|hsCRP|Ferritin|LDH|IgG|IgM|IgA|IFE|Troponin|Red blood cell count|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|White blood cell count|White blood cell differential|Platelet count|Mean platelet volume|Platelet distribution width|SpO2|A-a gradient|Blood Pressure|Pulse|Respiration Rate|Body Temperature,Octapharma,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,208,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",GAM10-10,31-Jan-21,1-Jun-20,244,7-Jan-21,22-May-20,,10-Mar-21,"Octapharma Research Site, Sheffield, Alabama, United States|Octapharma Research Site, Loma Linda, California, United States|Octapharma Research Site, Loma Linda, California, United States|Octapharma Research Site, Newport Beach, California, United States|Octapharma Research Site, Orange, California, United States|Octapharma Research Site, San Diego, California, United States|Octapharma Research Site, Washington, District of Columbia, United States|Octapharma Research Site, Honolulu, Hawaii, United States|Octapharma Research Site, Iowa City, Iowa, United States|Octapharma Research Site, Covington, Louisiana, United States|Octapharma Research Site, Midland, Michigan, United States|Octapharma Research Site, Las Vegas, Nevada, United States|Octapharma Research Site, Minot, North Dakota, United States|Octapharma Research Site, Charleston, South Carolina, United States|Octapharma Research Site, Tyler, Texas, United States|Octapharma Research Site, Ivanovo, Russian Federation|Octapharma Research Site, Moscow, Russian Federation|Octapharma Research Site, Moscow, Russian Federation|Octapharma Research Site, Ryazan', Russian Federation|Octapharma Research Site, Ivano-Frankivs'k, Ukraine|Octapharma Research Site, Kharkiv, Ukraine|Octapharma Research Site, Kremenchuk, Ukraine",,https://ClinicalTrials.gov/show/NCT04400058
291,NCT04446104,A Preventive Treatment for Migrant Workers at High-risk of COVID-19,,Completed,No Results Available,Covid-19,Drug: Hydroxychloroquine Sulfate Tablets|Drug: Ivermectin 3mg Tab|Drug: Zinc|Drug: Povidone-Iodine|Dietary Supplement: Vitamin C,"Laboratory-confirmed COVID-19 in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Acute respiratory illness in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Febrile respiratory illness in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Rate of hospitalization for COVID-19 and non-COVID-19 related indications in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Rate of oxygen supplementation and mechanical ventilation in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Duration of oxygen supplementation and mechanical ventilation in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Length of hospital stay in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Rate of laboratory-confirmed COVID-19 in treatment arms (hydroxychloroquine, ivermectin, zinc and povidone iodine)|Adverse events and serious adverse events in control arm (Vitamin C)|Drug discontinuation due to adverse events in control arm (Vitamin C)","National University Hospital, Singapore",Male,21 Years to 60 Years Â  (Adult),Phase 3,4257,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,2020/00561,31-Aug-20,13-May-20,110,31-Aug-20,24-Jun-20,,19-Oct-20,"Tuas South Dormitory, Singapore, Singapore",,https://ClinicalTrials.gov/show/NCT04446104
292,NCT04450277,Delivery of Protocolised Emergency Surgical Care During COVID-19 Pandemic,,Completed,No Results Available,COVID-19|Emergency Surgery,Procedure: Emergency surgery,Surgical morbidity in patients with COVID-19 infection and general surgical conditions,Khoo Teck Puat Hospital,All,"18 Years and older Â  (Adult, Older Adult)",,15,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020/00660,31-May-20,1-Apr-20,60,31-May-20,29-Jun-20,,7-Jul-20,"Khoo Teck Puat Hospital, Singapore, Singapore",,https://ClinicalTrials.gov/show/NCT04450277
